frame_idx,timestamp_ns,status,n_matched,n_inliers,reproj_rmse_px,step_rot_deg,step_trans_m
0,1520616724357818310,INIT,1832,0,,,
1,1520616724407772924,OK,1808,1777,0.3195,0.3584,0.0024
2,1520616724457774924,OK,1801,1763,0.2889,0.3781,0.0021
3,1520616724507775924,OK,1784,1724,0.3085,0.5558,0.0023
4,1520616724557777924,OK,1755,1706,0.3019,0.5830,0.0042
5,1520616724607778924,OK,1739,1661,0.2941,0.6369,0.0027
6,1520616724657780924,OK,1724,1665,0.3532,0.6804,0.0036
7,1520616724707781924,OK,1710,1666,0.3923,0.6493,0.0015
8,1520616724757783924,OK,1648,1607,0.4456,1.0060,0.0008
9,1520616724807788801,OK,1584,1531,0.4782,1.0637,0.0014
10,1520616724857789801,OK,1557,1513,0.4967,0.8406,0.0017
11,1520616724907791801,OK,1552,1471,0.4945,0.8130,0.0033
12,1520616724957894801,OK,1548,1425,0.4871,0.2860,0.0019
13,1520616725007794801,OK,1545,1485,0.5296,0.2990,0.0034
14,1520616725057795801,OK,1541,1492,0.5489,0.4785,0.0034
15,1520616725107797801,OK,1541,1495,0.5249,0.4728,0.0022
16,1520616725157798801,OK,1539,1478,0.5052,0.6079,0.0014
17,1520616725207800801,OK,1539,1492,0.5121,0.2924,0.0017
18,1520616725257856328,OK,1537,1500,0.4889,0.1962,0.0028
19,1520616725307858328,OK,1537,1507,0.4982,0.1489,0.0013
20,1520616725357859328,OK,1537,1503,0.4966,0.3924,0.0017
21,1520616725407861328,OK,1534,1492,0.5035,0.7217,0.0039
22,1520616725457863328,OK,1529,1489,0.5342,0.9976,0.0032
23,1520616725507864328,OK,1516,1414,0.5381,1.0124,0.0038
24,1520616725557866328,OK,1487,1403,0.5452,0.7377,0.0013
25,1520616725607868328,OK,1486,1398,0.5805,0.2886,0.0043
26,1520616725657862380,OK,1484,1417,0.5667,0.2979,0.0005
27,1520616725707863380,OK,1484,1420,0.5610,0.2420,0.0010
28,1520616725757865380,OK,1484,1433,0.5574,0.3639,0.0014
29,1520616725807866380,OK,1484,1436,0.5326,0.4208,0.0009
30,1520616725857868380,OK,1484,1443,0.5272,0.4637,0.0019
31,1520616725907871380,OK,1484,1448,0.5274,0.3926,0.0012
32,1520616725957871380,OK,1484,1448,0.5129,0.2615,0.0014
33,1520616726007873380,OK,1484,1450,0.5039,0.1430,0.0012
34,1520616726057950187,OK,1484,1458,0.5123,0.1602,0.0010
35,1520616726107951187,OK,1483,1456,0.5321,0.1566,0.0007
36,1520616726157953187,OK,1483,1439,0.5198,0.1618,0.0007
37,1520616726207954187,OK,1483,1438,0.5077,0.3744,0.0007
38,1520616726257956187,OK,1483,1454,0.5005,0.4083,0.0014
39,1520616726307958187,OK,1483,1439,0.4931,0.3954,0.0016
40,1520616726357959187,OK,1483,1451,0.4874,0.3579,0.0016
41,1520616726407961187,OK,1483,1446,0.4815,0.7488,0.0031
42,1520616726457912924,OK,1481,1437,0.5150,0.8385,0.0027
43,1520616726507914924,OK,1481,1423,0.5400,0.5372,0.0030
44,1520616726557915924,OK,1481,1432,0.5343,0.1377,0.0014
45,1520616726607916924,OK,1481,1422,0.5202,0.8215,0.0027
46,1520616726657918924,OK,1481,1447,0.5225,0.9270,0.0041
47,1520616726707920924,OK,1481,1441,0.5132,0.5973,0.0025
48,1520616726757921924,OK,1481,1441,0.5441,0.2737,0.0007
49,1520616726807923924,OK,1481,1403,0.5407,0.3708,0.0015
50,1520616726857948152,OK,1480,1417,0.5250,0.3130,0.0012
51,1520616726907950152,OK,1480,1416,0.5424,0.2792,0.0018
52,1520616726957951152,OK,1480,1402,0.5227,0.5406,0.0012
53,1520616727007953152,OK,1480,1420,0.5477,0.6379,0.0012
54,1520616727057955152,OK,1480,1436,0.5369,0.6999,0.0019
55,1520616727107956152,OK,1480,1426,0.5325,0.6679,0.0018
56,1520616727157958152,OK,1480,1430,0.5433,0.3565,0.0015
57,1520616727207959152,OK,1480,1425,0.5310,0.1936,0.0008
58,1520616727257898906,OK,1478,1427,0.5335,0.3881,0.0016
59,1520616727307899906,OK,1477,1401,0.5502,0.6525,0.0013
60,1520616727357901906,OK,1475,1372,0.5564,0.7079,0.0032
61,1520616727407903906,OK,1475,1366,0.5449,0.6093,0.0019
62,1520616727457904906,OK,1475,1396,0.5570,0.2482,0.0017
63,1520616727507906906,OK,1475,1412,0.5553,0.1876,0.0007
64,1520616727557908906,OK,1475,1404,0.5548,0.3727,0.0013
65,1520616727607909906,OK,1475,1420,0.5599,0.4238,0.0011
66,1520616727657911906,OK,1475,1424,0.5692,0.3276,0.0010
67,1520616727707913275,OK,1475,1397,0.5419,0.1578,0.0016
68,1520616727757913275,OK,1475,1423,0.5558,0.0856,0.0021
69,1520616727807916275,OK,1475,1416,0.5514,0.0634,0.0013
70,1520616727857917275,OK,1475,1412,0.5511,0.0686,0.0013
71,1520616727907918275,OK,1474,1422,0.5550,0.2260,0.0015
72,1520616727957920275,OK,1474,1389,0.5373,0.2068,0.0013
73,1520616728007921275,OK,1474,1402,0.5261,0.1371,0.0031
74,1520616728057923275,OK,1474,1400,0.5281,0.3479,0.0026
75,1520616728107905678,OK,1474,1362,0.5080,0.5480,0.0028
76,1520616728157907678,OK,1474,1404,0.5409,0.3444,0.0044
77,1520616728207920678,OK,1474,1400,0.5333,0.2430,0.0017
